timestamp,open,high,low,close,volume
1758656880,111579.2,111666.0,111579.19,111604.17,42.75771
1758657060,111604.16,111649.65,111560.01,111570.19,50.6342
1758657240,111570.19,111610.18,111540.2,111559.03,17.10966
1758657420,111559.03,111670.61,111559.03,111655.29,26.47433
1758657600,111655.29,111812.11,111632.94,111812.11,31.69007
1758657780,111812.12,111823.56,111760.36,111775.56,16.29505
1758657960,111775.55,111854.53,111775.55,111840.56,16.08641
1758658140,111840.56,111897.33,111815.86,111872.08,8.15963
1758658320,111872.08,111949.49,111839.04,111839.04,43.82891
1758658500,111839.05,111879.7,111839.04,111844.36,13.41956
1758658680,111844.36,111856.19,111765.49,111781.78,14.27281
1758658860,111781.78,111781.78,111694.87,111734.41,17.63843
1758659040,111734.41,111734.41,111651.16,111651.17,14.64165
1758659220,111651.17,111684.64,111650.0,111650.0,7.51891
1758659400,111650.01,111714.25,111644.06,111644.06,13.35039
1758659580,111644.07,111644.07,111458.73,111468.0,56.36129
1758659760,111468.0,111792.49,111467.99,111790.32,42.10622
1758659940,111790.33,111850.81,111790.32,111848.66,23.48117
1758660120,111848.66,111891.48,111815.66,111876.75,19.99053
1758660300,111876.76,111876.76,111732.0,111732.01,28.85822
1758660480,111732.0,111754.14,111705.14,111744.26,35.79149
1758660660,111744.26,111744.27,111685.53,111710.21,31.41421
1758660840,111710.21,111869.81,111710.21,111869.81,37.82157
1758661020,111869.81,111994.99,111869.8,111985.77,23.18312
1758661200,111985.78,111985.78,111910.98,111920.36,10.15476
1758661380,111920.37,111952.77,111899.68,111952.77,7.31733
1758661560,111952.77,111952.77,111893.44,111902.4,12.89728
1758661740,111902.4,111944.73,111902.39,111944.72,5.31514
1758661920,111944.72,112000.0,111944.72,111999.99,22.22579
1758662100,112000.0,112006.64,111980.42,111990.53,12.85647
1758662280,111990.53,111990.54,111960.59,111960.6,7.23142
1758662460,111960.59,111960.6,111948.27,111948.28,9.59801
1758662640,111948.27,111994.02,111948.27,111994.01,21.95714
1758662820,111994.01,112074.65,111994.01,112074.65,66.80856
1758663000,112074.65,112074.65,112055.46,112072.03,16.67157
1758663180,112072.02,112125.0,112072.02,112124.99,11.01016
1758663360,112125.0,112151.03,112124.99,112151.02,7.79473
1758663540,112151.02,112172.0,112132.98,112171.99,14.39675
1758663720,112172.0,112202.24,112172.0,112202.24,8.59708
1758663900,112202.23,112202.24,112148.08,112148.08,9.34925
1758664080,112148.08,112148.08,112094.36,112109.24,10.46466
1758664260,112109.25,112143.99,112109.24,112143.99,3.75025
1758664440,112143.99,112178.32,112143.98,112178.32,5.62832
1758664620,112178.31,112178.33,112143.14,112161.54,6.54347
1758664800,112161.53,112161.54,112061.46,112068.58,19.38124
